State,School Type, Students, Disbursements,Average
TX ,Proprietary,51305,204967865.2,3995.08557
TX ,Private/ Non Profit,44512,188854057.5,4242.767288
UT ,Public,57707,229026882.9,3968.788586
UT ,Proprietary,5631,21630094.91,3841.25287
UT ,Private/ Non Profit,64576,261252036,4045.652192
VA ,Public,108330,411653418.4,3799.994631
VA ,Proprietary,23420,99835357,4262.824808
VA ,Private/ Non Profit,43489,170278300.6,3915.433801
VI ,Public,1028,4441778.03,4320.795749
VT ,Public,6838,24107242.49,3525.481499
VT ,Proprietary,178,726708.45,4082.631742
VT ,Private/ Non Profit,3818,16010379.57,4193.394335
WA ,Public,93984,362965388.5,3861.99128
WA ,Proprietary,7161,28928107.82,4039.674322
WA ,Private/ Non Profit,9309,38698453.89,4157.101073
WI ,Public,76613,277558342.1,3622.862205
WI ,Proprietary,1358,5551598.15,4088.06933
WI ,Private/ Non Profit,19811,77546475.95,3914.314065
WV ,Public,28588,118330145.7,4139.154389
WV ,Proprietary,19672,67277999.76,3419.987788
WV ,Private/ Non Profit,3038,12834119.15,4224.529016
WY ,Public,7033,26910549.72,3826.325852
WY ,Proprietary,678,2618652,3862.318584
